Orig,Actl_BM,Gross_gal,Enroute_gal,Alt_gal,Cont_gal,Tanker_gal,cluster,cluster_euclid,cluster_cosine
DTW,134.2947350309704,1714.3600825877486,1091.6816930488644,170.81596696490044,242.43535788024874,209.4300412938749,2,0,0
DWF,122.79439700169425,1344.010406790683,887.506306367977,169.04066537744194,228.0758543973471,59.38583505895642,6,1,0
EFH,53.429210610418664,325.24666027484824,62.55289229785874,159.3666347075743,86.62965803771164,16.698977309044416,5,4,0
EKF,199.42338362068966,2409.77579741379,2005.5239224137931,152.10741379310343,247.68130387930944,4.460603448275862,1,2,0
ENS,96.03881378107283,964.3464675098121,555.6931966855648,164.80776275621486,201.64596598342814,42.2002616659398,4,3,0
ENW,224.4952741020794,2286.201512287332,1858.4751102709515,169.9596723377441,249.67756773787005,8.080655324511659,1,2,0
EVE,116.83141339224659,1433.775130187788,827.987007521961,177.4263689442952,240.23342275524635,188.12847824943515,6,1,0
FAC,93.08286000668225,654.1871366521882,308.9311727363849,151.96632141663878,189.06234547276952,4.225192114934847,0,6,0
FSG,101.58315154625946,1153.5844924932633,651.763698190684,160.33117541383297,213.61691902989827,127.87212241755424,4,1,0
FTD,129.00546875,1888.2220883413581,1085.6377704326924,143.00897235576937,252.01383713942306,407.5645342548069,2,0,0
FUS,99.80021329541415,736.796178457163,417.15499466761463,141.82515108425187,159.62943476715247,18.184073942410244,0,3,0
FYC,162.92228682170543,1741.713449612401,1320.1930232558138,166.10308139534854,247.5486046511623,7.861511627906975,2,0,0
FYX,86.12179910678893,1026.1094632805691,558.8325625644143,114.37772521867805,224.83313073121712,128.06654950979092,4,3,0
FZC,114.21380755276202,1222.4612928611598,825.5081404261842,145.86920639787482,225.87988144513832,25.205228678011128,6,1,0
GXQ,114.8075735112429,1675.787367185568,991.9822090437361,160.02273906597406,246.0236039041275,277.7566963182593,2,0,0
HCR,120.98087375300997,1711.9443962848381,1054.7350533195734,171.5736601307186,241.8628964568296,243.7757860337112,2,0,0
HMG,36.0,538.8000000000001,247.33333333333334,193.4,98.14999999999999,0.0,0,6,0
HMQ,51.5,683.05,419.5,140.0,123.55,0.0,0,3,0
ICQ,111.01368403802032,1026.2674669507276,655.1292199278924,139.14067791980818,219.2086747514477,12.788479187151776,4,1,0
IIR,38.0,1117.0500000000002,202.5,668.9000000000001,246.0,0.0,4,3,0
IVF,108.59672664430212,1258.425698891943,742.4101860323269,180.47922130730913,233.62762020941315,101.90443224560339,6,1,0
IWM,156.98216560509553,1122.5300454959036,792.333575978162,102.84798908098279,220.58837124658712,6.754194722474972,4,1,0
IXT,120.62991656734208,2075.300357568533,1448.7520858164482,26.30294994040527,209.18602502979775,391.05500595947484,1,0,0
JAM,151.55751708428247,1109.4636674259675,755.3189066059225,143.27739179954452,205.22670842824596,5.646127562642369,4,1,0
JEF,105.93797909407665,1420.0817499032114,765.688579171506,139.53883468834744,236.51743321719087,278.3371622144798,6,1,0
JKR,108.20234586096782,1466.022813804967,832.8989805944485,173.0985998526162,229.85333456153194,230.17380864652338,6,1,0
JSY,118.18118427199289,1386.6059452869429,888.5029111169346,173.58909726890505,232.27388881925938,92.2408547631797,6,1,0
JWE,138.7846815713379,1329.7530220748924,942.0829395585021,170.41539600818035,211.98966076592185,5.262077720572675,6,1,0
KAC,140.25769877631504,1966.6349127181982,1271.6238908542598,194.6078002667743,246.63678304239417,253.76829583019227,2,0,0
KHG,116.52469998356074,1140.7627835771802,731.2782138747328,169.61693448956117,211.20195216175958,28.667437941805098,4,1,0
KMU,118.65709217952164,1357.6604643913013,863.4808599838753,137.7929266326256,231.57600537489802,124.81100994356275,6,1,0
LED,147.36013358896653,1845.405071432986,1338.9854041684705,184.59162595089288,244.37957820520668,77.44588409920222,2,0,0
LJX,88.81450094161958,989.8825486503458,459.60608913998743,190.43562460765858,211.4382297551788,128.399937225361,4,3,0
LKJ,79.90684133915575,638.1103347889374,307.9946627850558,139.5047549733137,159.97777777777776,30.63529839883551,0,6,0
LSV,95.81828054298643,1196.2672398190073,636.5188235294117,165.24418099547503,213.97609049773723,180.52285972850646,4,1,0
